tarih,ürün_kodu,ürün_adi,kategori,fiyat,adet,toplam_satis,musteri_id,isim,cinsiyet,yas,sehir,harcama_miktari
02/06/2024,P037,Fırın,Ev Aletleri,1337.33,4,5349.32,7483,Nuriyet,Kadın,63,İzmir,4218.71
23/08/2024,P063,Klima,Elektronik,1305.45,11,14359.95,4871,İsmet,Erkek,48,Konya,692.56
27/10/2023,P087,Kulaklık,Elektronik,512.56,19,9738.64,1605,Sunel,Erkek,34,Gaziantep,536.95
01/12/2022,P018,Telefon,Elektronik,721.03,13,9373.39,8347,Ümmet,Erkek,50,İzmir,4694.71
06/03/2023,P037,Fırın,Ev Aletleri,1255.55,12,15066.6,3716,Ahsen,Kadın,28,İstanbul,202.9
22/07/2023,P037,Fırın,Ev Aletleri,890.04,1,890.04,3354,Akatay,Erkek,49,İzmir,4337.42
31/12/2022,P010,Çanta,Giyim,1379.66,2,2759.32,7465,Sulhi,Erkek,33,Gaziantep,1902.34
19/11/2023,P097,Su Şişesi,Mutfak Ürünleri,1244.44,5,7520.75939059395,1521,Zihni,Kadın,46,İzmir,2506.6
16/11/2023,P032,Mouse,Elektronik,1054.7,15,15820.5,4625,Erşat,Kadın,25,İstanbul,328.7
26/02/2023,P010,Çanta,Giyim,1023.79,16,16380.64,3558,Aclan,Erkek,40,Ankara,4391.46
09/09/2023,P032,Mouse,Elektronik,1364.97,8,10919.76,9825,Hariz,Erkek,39,Ankara,2211.18
24/02/2024,P018,Telefon,Elektronik,1037.07,2,2074.14,2488,Hudavent,Erkek,35,Adana,3762.96
30/07/2024,P032,Mouse,Elektronik,1077.5,17,18317.5,1320,Nurser,Erkek,67,Bursa,2258.18
26/07/2024,P024,Bilgisayar,Elektronik,419.95,12,5039.4,5532,Tandoğdu,Erkek,24,İstanbul,3710.86
01/03/2024,P082,Defter,Kırtasiye,157.6,17,2679.2,8228,Serda,Kadın,45,Antalya,3530.46
27/11/2023,P032,Mouse,Elektronik,737.35,18,13272.3,1176,Alışık,Erkek,32,Konya,2094.04
08/05/2023,P010,Çanta,Giyim,683.74,11,7521.14,2851,Gülbeyan,Erkek,57,Ankara,1271.34
28/07/2023,P082,Defter,Kırtasiye,1201.22,11,13213.42,4659,Şemsinisa,Kadın,20,Gaziantep,3756.53
05/09/2023,P032,Mouse,Elektronik,1445.68,8,11565.44,7194,Müjde,Erkek,23,Ankara,4205.5
03/02/2023,P063,Klima,Elektronik,962.52,13,12512.76,4437,Tasvir,Erkek,27,Ankara,1495.9
12/08/2024,P087,Kulaklık,Elektronik,337.3,8,2698.4,7497,Borataş,Erkek,35,Antalya,4695.46
19/01/2023,P024,Bilgisayar,Elektronik,87.22,16,1395.52,2132,Canal,Erkek,59,Adana,3923.13
17/06/2023,P087,Kulaklık,Elektronik,301.99,14,7520.75939059395,9526,Çalım,Kadın,65,Bursa,3777.81
16/07/2023,P087,Kulaklık,Elektronik,1364.87,6,7520.75939059395,8900,Hacile,Kadın,60,Antalya,1684.71
10/01/2024,P097,Su Şişesi,Mutfak Ürünleri,898.53,18,16173.54,3902,Candeniz,Erkek,61,Konya,867.2
26/04/2024,P087,Kulaklık,Elektronik,1056.9,16,16910.4,3455,Uğur,Erkek,62,Antalya,2559.4
10/06/2023,P063,Klima,Elektronik,628.44,8,5027.52,4002,Kiyasi,Kadın,40,Adana,1974.35
12/01/2024,P087,Kulaklık,Elektronik,421.58,18,7588.44,3819,Paker,Kadın,44,İzmir,3887.09
11/06/2024,P037,Fırın,Ev Aletleri,671.85,7,4702.95,3515,Kutay,Erkek,20,Antalya,304.84
28/06/2024,P063,Klima,Elektronik,48.36,3,7520.75939059395,3142,Özpetek,Erkek,29,Bursa,3835.22
06/12/2023,P024,Bilgisayar,Elektronik,305.07,1,305.07,2865,Gözel,Kadın,52,Konya,1784.76
16/02/2024,P063,Klima,Elektronik,1186.05,11,13046.55,2325,Yönetmen,Kadın,32,Ankara,4172.86
03/04/2024,P087,Kulaklık,Elektronik,747.76,6,4486.56,6118,Tanyu,Kadın,47,Gaziantep,1632.54
09/01/2023,P082,Defter,Kırtasiye,431.57,10,4315.7,9871,Kâmil,Erkek,45,Gaziantep,2186.94
27/01/2024,P082,Defter,Kırtasiye,320.73,10,3207.3,4877,Serma,Erkek,38,Ankara,3717.06
11/08/2023,P032,Mouse,Elektronik,377.77,18,6799.86,1304,Bedri,Erkek,21,Bursa,2820.75
28/01/2023,P087,Kulaklık,Elektronik,619.29,17,10527.93,2458,Üsame,Kadın,43,Antalya,2568.77
13/09/2024,P032,Mouse,Elektronik,130.55,9,1174.95,2402,Amre,Kadın,34,İzmir,4604.03
15/10/2024,P011,Kalem,Kırtasiye,1403.81,5,7520.75939059395,5809,Sahil,Kadın,66,Bursa,654.06
27/04/2024,P010,Çanta,Giyim,1007.39,17,17125.63,4441,Seyyide,Kadın,38,Gaziantep,4343.76
28/11/2023,P032,Mouse,Elektronik,551.17,8,4409.36,3063,Karabaş,Kadın,50,İstanbul,713.58
12/03/2024,P037,Fırın,Ev Aletleri,855.19,12,10262.28,8844,Satrettin,Erkek,37,Bursa,2397.13
08/08/2023,P063,Klima,Elektronik,24.23,3,72.69,5596,Gülzadiye,Kadın,62,İstanbul,4584.58
31/01/2023,P037,Fırın,Ev Aletleri,251.49,4,1005.96,2452,Divan,Kadın,26,Ankara,359.96
08/01/2024,P097,Su Şişesi,Mutfak Ürünleri,517.5,13,6727.5,1307,Şadıman,Kadın,46,Konya,3483.85
03/03/2024,P037,Fırın,Ev Aletleri,547.24,4,2188.96,5863,Işın,Kadın,57,İzmir,2880.52
01/12/2022,P018,Telefon,Elektronik,707.89,15,10618.35,9485,Arcan,Erkek,42,Konya,3197.7
18/12/2023,P037,Fırın,Ev Aletleri,454.66,15,7520.75939059395,9002,Amre,Erkek,63,Konya,4497.87
19/02/2024,P063,Klima,Elektronik,1480.54,7,10363.78,4855,Esna,Erkek,39,Adana,3045.92
24/12/2023,P063,Klima,Elektronik,530.16,14,7422.24,3358,Tonguç,Erkek,50,Gaziantep,3150.84
19/09/2023,P087,Kulaklık,Elektronik,1137.99,1,1137.99,6447,Akbaş,Kadın,57,Gaziantep,4462.24
16/08/2023,P011,Kalem,Kırtasiye,1269.85,13,16508.05,7751,Tandoğdu,Kadın,56,Bursa,4868.87
03/12/2023,P032,Mouse,Elektronik,782.3,9,7040.7,5798,Cüneyit,Kadın,63,Ankara,1750.15
06/12/2023,P063,Klima,Elektronik,551.27,8,4410.16,3684,Tunçboğa,Erkek,42,Adana,4362.96
01/01/2023,P032,Mouse,Elektronik,889.29,2,1778.58,4414,Borataş,Erkek,44,Adana,1661.3
23/08/2023,P097,Su Şişesi,Mutfak Ürünleri,1064.36,5,7520.75939059395,8411,Serma,Erkek,62,Konya,1994.81
24/02/2023,P032,Mouse,Elektronik,1204.46,1,1204.46,2662,Ülfet,Kadın,29,Ankara,4647.04
23/01/2024,P010,Çanta,Giyim,300.98,2,601.96,3748,Tanhan,Kadın,24,Adana,1933.79
21/10/2023,P018,Telefon,Elektronik,901.09,8,7208.72,5765,Siti,Kadın,34,Ankara,1144.63
03/03/2024,P018,Telefon,Elektronik,470.19,14,6582.66,1577,Fetullah,Kadın,49,Bursa,4754.74
22/01/2024,P097,Su Şişesi,Mutfak Ürünleri,100.3,15,1504.5,3323,Çinerk,Kadın,36,Gaziantep,4525.58
04/10/2024,P037,Fırın,Ev Aletleri,516.2,5,2581.0,4030,Nurtaç,Erkek,60,İzmir,3316.69
27/05/2023,P037,Fırın,Ev Aletleri,320.56,3,961.68,5486,Yaşattin,Erkek,25,Ankara,3527.99
01/08/2023,P010,Çanta,Giyim,597.41,14,8363.74,9282,Rayla,Erkek,47,Bursa,2633.86
03/12/2023,P024,Bilgisayar,Elektronik,1117.48,16,17879.68,9354,Günver,Kadın,68,Gaziantep,2723.18
24/08/2023,P018,Telefon,Elektronik,154.83,14,7520.75939059395,3050,Sunel,Kadın,57,Bursa,2670.22
30/01/2024,P024,Bilgisayar,Elektronik,1383.13,19,26279.47,1484,Mestur,Kadın,43,Bursa,2955.64
22/04/2023,P087,Kulaklık,Elektronik,709.18,11,7800.98,2523,Ferinaz,Erkek,32,Adana,4431.96
21/01/2023,P063,Klima,Elektronik,1312.88,16,21006.08,7139,Başhan,Kadın,38,Gaziantep,1768.31
08/09/2023,P032,Mouse,Elektronik,1462.41,5,7312.05,9426,Sökmen,Kadın,32,Bursa,1841.46
08/07/2023,P011,Kalem,Kırtasiye,32.18,2,64.36,9072,İlklima,Kadın,69,İzmir,4669.46
08/06/2024,P010,Çanta,Giyim,991,16,15856.0,7253,Alparslan,Erkek,62,Konya,507.28
15/10/2023,P063,Klima,Elektronik,1360.87,10,13608.7,9732,Cebesoy,Kadın,46,Antalya,1723.45
22/12/2023,P087,Kulaklık,Elektronik,434.92,4,1739.68,1756,Berki,Kadın,44,Ankara,2751.49
11/10/2023,P032,Mouse,Elektronik,675.89,13,8786.57,7710,Borahan,Kadın,26,Adana,4108.59
15/05/2023,P037,Fırın,Ev Aletleri,1297.88,6,7520.75939059395,1836,Hazine,Kadın,53,Konya,3846.53
18/12/2023,P097,Su Şişesi,Mutfak Ürünleri,43.22,2,86.44,5360,Rezin,Kadın,55,Antalya,948.39
10/07/2023,P011,Kalem,Kırtasiye,60.42,11,664.62,7083,Alattin,Kadın,27,Ankara,914.21
07/09/2023,P011,Kalem,Kırtasiye,41.66,3,124.98,8509,Rohat,Kadın,62,Adana,1205.55
01/02/2023,P037,Fırın,Ev Aletleri,670.88,13,8721.44,5798,Cüneyit,Kadın,63,Ankara,1750.15
12/06/2023,P018,Telefon,Elektronik,741.99,7,5193.93,3558,Aclan,Erkek,40,Ankara,4391.46
12/01/2023,P063,Klima,Elektronik,1228.14,3,3684.42,8889,Kutun,Kadın,62,Gaziantep,2897.64
04/04/2023,P024,Bilgisayar,Elektronik,1418.44,13,18439.72,5731,Alaaddin,Kadın,20,Konya,1959.35
18/03/2023,P018,Telefon,Elektronik,125.51,9,1129.59,8095,Yeneral,Kadın,61,Konya,3525.55
08/10/2023,P082,Defter,Kırtasiye,1466.61,12,17599.32,9452,Müveddet,Kadın,59,Bursa,3587.02
24/10/2024,P024,Bilgisayar,Elektronik,205.53,6,1233.18,2367,Feyruz,Kadın,45,Bursa,197.55
04/06/2023,P037,Fırın,Ev Aletleri,1220.21,1,1220.21,1494,Rezzak,Kadın,53,Gaziantep,3842.0
01/06/2023,P024,Bilgisayar,Elektronik,1242.43,18,22363.74,4544,Tagangül,Kadın,46,İzmir,4821.06
19/04/2024,P087,Kulaklık,Elektronik,429,10,4290.0,5198,Şahmettin,Kadın,24,Bursa,503.13
11/04/2023,P032,Mouse,Elektronik,201.25,19,3823.75,2129,Ozansü,Kadın,26,Antalya,4267.73
09/12/2022,P087,Kulaklık,Elektronik,1066.05,2,2132.1,9500,Gözel,Kadın,39,Bursa,4455.37
03/09/2023,P024,Bilgisayar,Elektronik,73.74,16,1179.84,7155,Vezrife,Kadın,40,Antalya,2910.69
05/02/2024,P082,Defter,Kırtasiye,1054.46,15,15816.9,1907,Leyli,Erkek,48,Adana,3986.06
02/05/2024,P087,Kulaklık,Elektronik,430.98,19,7520.75939059395,9385,Nurseda,Kadın,22,İzmir,4209.36
22/11/2023,P024,Bilgisayar,Elektronik,816.21,13,10610.73,5318,Binışık,Kadın,54,Konya,3629.06
23/05/2024,P087,Kulaklık,Elektronik,998.07,17,7520.75939059395,7021,Ercihan,Erkek,54,Adana,4615.83
12/02/2023,P082,Defter,Kırtasiye,1170.6,16,18729.6,5209,Nebih,Kadın,25,Antalya,137.85
15/01/2024,P097,Su Şişesi,Mutfak Ürünleri,928.07,11,10208.77,4986,Haciali,Kadın,57,Antalya,2470.18
29/04/2024,P024,Bilgisayar,Elektronik,1109.56,3,3328.68,2312,Çelikyürek,Kadın,41,Antalya,4636.26
11/04/2023,P082,Defter,Kırtasiye,771.8,12,9261.6,1499,Şahnuray,Erkek,39,Bursa,4996.4
23/10/2023,P018,Telefon,Elektronik,11/07/2024 00:00,5,55.35,3111,Revza,Erkek,36,Ankara,3669.9
11/07/2024,P018,Telefon,Elektronik,729.28,16,11668.48,9260,Burç,Erkek,68,Gaziantep,3986.03
31/03/2024,P087,Kulaklık,Elektronik,903.34,14,12646.76,3196,Altınçiçek,Erkek,45,Bursa,747.64
08/01/2023,P010,Çanta,Giyim,1182.59,17,20104.03,8024,Kaşif,Erkek,51,Gaziantep,3860.4
15/05/2023,P087,Kulaklık,Elektronik,621.7,5,3108.5,1431,Aliihsan,Erkek,32,İzmir,379.8
10/02/2024,P087,Kulaklık,Elektronik,873.05,5,4365.25,7423,Dilsitan,Erkek,68,Antalya,1479.04
05/07/2024,P010,Çanta,Giyim,603.99,9,5435.91,7530,Cemiyle,Erkek,33,Konya,3091.06
10/11/2022,P097,Su Şişesi,Mutfak Ürünleri,549.64,12,6595.68,9880,Refet,Kadın,47,Antalya,2484.55
17/02/2024,P037,Fırın,Ev Aletleri,771.44,16,12343.04,8915,Cabir,Erkek,41,Antalya,4469.95
09/07/2023,P010,Çanta,Giyim,1180.98,4,4723.92,6258,Boztaş,Kadın,43,İstanbul,2692.37
13/05/2023,P097,Su Şişesi,Mutfak Ürünleri,671.2,15,10068.0,3955,Fenni,Kadın,64,Konya,3742.46
11/02/2023,P087,Kulaklık,Elektronik,1010.34,7,7072.38,6863,Adıgün,Kadın,64,Bursa,1214.31
06/01/2023,P082,Defter,Kırtasiye,283.44,9,2550.96,2661,Yurdaser,Kadın,55,Ankara,1519.53
18/08/2023,P024,Bilgisayar,Elektronik,260.59,9,2345.31,6123,Zebirce,Kadın,25,Adana,3437.66
14/01/2023,P037,Fırın,Ev Aletleri,248.75,9,2238.75,8900,Hacile,Kadın,60,Antalya,1684.71
11/10/2024,P024,Bilgisayar,Elektronik,388,14,5432.0,5619,Gündüzalp,Erkek,26,İstanbul,4786.24
03/07/2024,P063,Klima,Elektronik,614.08,15,9211.2,7152,Abdulsemet,Kadın,45,İzmir,2048.74
25/12/2022,P018,Telefon,Elektronik,23.75,4,95.0,3393,Özgün,Erkek,36,Konya,4060.86
19/12/2023,P011,Kalem,Kırtasiye,291.36,4,1165.44,2535,Nihan,Erkek,21,Konya,3470.65
24/05/2023,P032,Mouse,Elektronik,177.89,6,1067.34,4741,Besey,Erkek,65,Ankara,345.13
27/03/2024,P011,Kalem,Kırtasiye,280.37,19,5327.03,2619,Nezize,Erkek,43,Antalya,431.77
18/05/2024,P082,Defter,Kırtasiye,23.59,6,141.54,5760,Rıfkıye,Erkek,49,Gaziantep,3947.79
23/03/2024,P097,Su Şişesi,Mutfak Ürünleri,1119.64,11,12316.04,1167,Us,Erkek,44,Antalya,1125.66
29/11/2022,P024,Bilgisayar,Elektronik,345.03,1,345.03,1960,Tansev,Erkek,41,Antalya,3706.35
13/02/2024,P024,Bilgisayar,Elektronik,980.43,15,14706.45,9519,Arıel,Erkek,53,Konya,4738.37
15/04/2024,P037,Fırın,Ev Aletleri,894.77,19,17000.63,2870,Soyselçuk,Erkek,56,Antalya,3983.04
07/07/2023,P082,Defter,Kırtasiye,975.47,6,5852.82,6443,Hürüyet,Erkek,34,Ankara,2778.77
06/03/2023,P018,Telefon,Elektronik,711.34,13,9247.42,6202,Özkutlu,Erkek,65,İstanbul,1785.19
12/06/2023,P018,Telefon,Elektronik,813.43,15,12201.45,2662,Ülfet,Kadın,29,Ankara,4647.04
09/07/2024,P063,Klima,Elektronik,131.65,6,7520.75939059395,9178,Cannur,Kadın,47,Bursa,4419.74
14/08/2024,P097,Su Şişesi,Mutfak Ürünleri,978.69,17,16637.73,5645,Alpsü,Erkek,40,Adana,2619.23
21/02/2024,P018,Telefon,Elektronik,813.57,2,1627.14,3706,Tuğcan,Kadın,68,Gaziantep,2501.92
13/10/2023,P087,Kulaklık,Elektronik,426.3,4,1705.2,8188,Ensari,Erkek,49,İzmir,3910.69
14/02/2024,P097,Su Şişesi,Mutfak Ürünleri,1403.12,4,5612.48,1981,Ayşan,Kadın,31,İzmir,556.25
27/11/2023,P063,Klima,Elektronik,133.38,8,1067.04,4465,İlbek,Kadın,31,Ankara,1249.73
26/10/2024,P010,Çanta,Giyim,192.07,17,3265.19,5164,Birsen,Kadın,41,Bursa,651.7
18/05/2023,P063,Klima,Elektronik,01/07/1935 00:00,13,95.55,6741,Koray,Erkek,45,Antalya,3391.0
29/09/2023,P087,Kulaklık,Elektronik,537.13,11,5908.43,6533,Gilman,Erkek,64,Gaziantep,2103.81
02/07/2023,P024,Bilgisayar,Elektronik,1102.28,3,3306.84,5735,Zamir,Erkek,43,Adana,938.61
27/05/2023,P024,Bilgisayar,Elektronik,25.79,15,386.85,4869,Hafıza,Kadın,52,Ankara,448.55
13/12/2023,P032,Mouse,Elektronik,122.66,15,1839.9,2217,Duyguhan,Kadın,62,Konya,4164.14
09/08/2024,P011,Kalem,Kırtasiye,1004.66,1,1004.66,4310,Tasvir,Erkek,64,Antalya,3717.03
12/02/2023,P032,Mouse,Elektronik,528.21,8,4225.68,6671,Minibe,Erkek,59,Bursa,4095.91
13/12/2023,P032,Mouse,Elektronik,180.98,4,723.92,4263,Bünyamün,Kadın,47,Bursa,4747.89
20/08/2024,P010,Çanta,Giyim,20.13,7,140.91,8586,Barışcan,Kadın,54,Adana,1732.46
12/07/2023,P018,Telefon,Elektronik,418.85,16,6701.6,7138,Hanim,Erkek,21,İzmir,1005.58
23/09/2023,P097,Su Şişesi,Mutfak Ürünleri,799.32,5,3996.6,3486,Neslinur,Erkek,28,Bursa,2081.46
02/09/2023,P087,Kulaklık,Elektronik,155.58,10,7520.75939059395,2333,Zihni,Erkek,26,Antalya,1747.65
05/09/2024,P087,Kulaklık,Elektronik,959.75,2,1919.5,9826,Paye,Kadın,52,Bursa,672.76
16/05/2024,P032,Mouse,Elektronik,565.78,5,2828.9,7147,Hasgül,Kadın,30,İzmir,681.07
25/10/2023,P010,Çanta,Giyim,1438.84,13,18704.92,5627,Aygönenç,Kadın,54,Bursa,4773.87
07/01/2023,P010,Çanta,Giyim,840.93,15,12613.95,2262,Yıldız,Erkek,58,Ankara,707.16
12/09/2023,P011,Kalem,Kırtasiye,571.47,13,7520.75939059395,7509,Güllühan,Erkek,45,İstanbul,1010.01
14/10/2024,P063,Klima,Elektronik,17.45,18,314.1,9520,Haluk,Kadın,35,İstanbul,1036.95
12/12/2023,P082,Defter,Kırtasiye,965.26,11,10617.86,3092,Şahat,Erkek,37,Adana,1040.18
17/04/2023,P082,Defter,Kırtasiye,1184.11,9,10656.99,9880,Refet,Kadın,47,Antalya,2484.55
01/06/2024,P063,Klima,Elektronik,126.77,8,1014.16,4272,Durmuşali,Erkek,67,Ankara,1332.39
03/04/2024,P032,Mouse,Elektronik,281.06,5,1405.3,6305,Feryas,Erkek,20,İstanbul,2710.35
23/03/2023,P018,Telefon,Elektronik,01/07/1989 00:00,13,102.57,6298,Nurullah,Kadın,31,Gaziantep,2890.92
24/01/2023,P018,Telefon,Elektronik,440,14,6160.0,3049,Tezol,Kadın,21,Antalya,2127.8
23/07/2024,P087,Kulaklık,Elektronik,546.44,18,7520.75939059395,7380,Müsemma,Kadın,67,Adana,1138.1
29/08/2023,P010,Çanta,Giyim,1392.59,9,12533.31,6477,Çağa,Erkek,51,Konya,1466.88
30/11/2022,P037,Fırın,Ev Aletleri,1307.11,2,2614.22,6762,Köktaş,Erkek,46,İzmir,3766.3
04/10/2024,P082,Defter,Kırtasiye,62.92,9,566.28,4474,Edaviye,Kadın,42,Bursa,718.62
05/05/2024,P063,Klima,Elektronik,59.36,19,1127.84,6027,Lâle,Erkek,68,Ankara,4834.63
25/07/2023,P037,Fırın,Ev Aletleri,1440.2,17,24483.4,9921,Aytek,Erkek,47,Ankara,3112.63
05/08/2024,P011,Kalem,Kırtasiye,104.18,8,833.44,4753,Canfeza,Kadın,20,Konya,904.21
07/05/2024,P097,Su Şişesi,Mutfak Ürünleri,905.86,12,10870.32,5643,Abiye,Kadın,52,Bursa,1195.3
08/08/2024,P018,Telefon,Elektronik,688.41,5,3442.05,1943,Fatih,Erkek,29,İzmir,1486.78
24/04/2024,P087,Kulaklık,Elektronik,1122.45,18,20204.1,6491,Mishat,Erkek,27,Antalya,523.18
08/05/2024,P011,Kalem,Kırtasiye,389.72,9,7520.75939059395,9634,Akbaş,Erkek,50,Konya,1485.33
20/08/2023,P010,Çanta,Giyim,683.63,19,12988.97,8437,Hilayda,Erkek,56,Antalya,998.32
